hospital_id,hospital_name,hospital_city_direct,cghs_city,state,hosp_type_code,nabh_status,nabl_status,pincode,total_claims,total_claimed_lakh,total_approved_lakh,total_deducted_lakh,deduction_pct
3561,DR KD MULTISPECIALITY HOSPITAL,JAMMU,Jammu,Jammu and Kashmir,,N,N,180012,16767,3178.86,2941.08,237.77,7.48
1510,MAHAVIR HOSPITAL,JHUNJHUNU,Jaipur,Rajasthan,1,N,N,333001,9304,1258.17,1021.55,236.61,18.81
382,Nayyar Heart Institute and Super Speciality Hospital,Amritsar,Jalandhar,Punjab,1,N,N,143001,1761,2287.11,2051.55,235.56,10.30
2850,SATISH HOSPITAL,ALWAR,Jaipur,Rajasthan,1,N,N,301705,2169,981.28,745.98,235.30,23.98
2731,RAMA HOSPITAL & RESEARCH CENTRE,HAPUR,Bareilly,Uttar Pradesh,1,N,N,245304,699,1044.30,809.36,234.94,22.50
3378,NOBLE CARE HOSPITAL,SIKAR,Jaipur,Rajasthan,,N,N,332001,5758,1747.99,1513.13,234.87,13.44
5353,MEG & Centre,Bangalore,Bangalore,Karnataka,N,N,N,560042,17168,899.79,666.78,233.01,25.90
188,MAHARAJA AGRASEN HOSPITAL - WEST PUNJABI BAGH,DELHI,Delhi,Delhi,1,Y,Y,110026,11955,2438.61,2205.71,232.89,9.55
2175,SHARMA HOSPITAL - BHIWANI,BHIWANI,Hisar,Haryana,1,N,N,127021,1973,1449.22,1218.32,230.90,15.93
5128,Thrissur,Thrissur,Kochi,Kerala,N,N,N,680001,62407,1895.93,1665.63,230.30,12.15
452,MALABAR INSTITUTE OF MEDICAL SCIENCES LTD CALICUT,CALICUT,Kochi,Kerala,1,N,N,673016,84742,7338.37,7108.32,230.05,3.13
1140,MAX SUPER SPECIALITY HOSPITAL - SHALIMAR BAGH,NEW DELHI,Delhi,Delhi,1,Y,Y,110088,43882,15771.03,15541.02,230.01,1.46
2728,MANIPAL TEACHING HOSPITAL,POKHARA,Nepal,NA,1,N,N,999999,53292,8263.78,8033.85,229.93,2.78
1988,PARKASH HOSPITAL - AMRITSAR,AMRITSAR,Jalandhar,Punjab,1,N,N,143001,1976,3355.30,3125.42,229.88,6.85
1323,UPADHYAY HOSPITAL,AGRA,Bareilly,Uttar Pradesh,1,N,N,282001,15059,2390.30,2161.33,228.97,9.58
153,INDIAN SPINAL INJURIES CENTRE - VASANT KUNJ,NEW DELHI,Delhi,Delhi,1,Y,Y,110070,12770,2175.62,1946.88,228.74,10.51
3434,SUMAN HOSPITAL,JHUNJHUNU,Jaipur,Rajasthan,,N,N,333001,1088,1204.74,976.14,228.60,18.98
5427,COD Kandivali(Malad),MUMBAI,Mumbai,Maharashtra,N,N,N,400097,6831,862.89,634.75,228.14,26.44
1979,GUPTA MULTISPECIALITY HOSPITAL,DELHI,Delhi,Delhi,1,N,N,110039,1411,1337.13,1109.95,227.18,16.99
2125,SIMRITA NURSING HOME,DIST PATIALA,Ambala,Punjab,1,N,N,140401,3765,4145.57,3918.68,226.89,5.47
110,Care Hospital (Quality Care India Ltd) - Nampally,Hyderabad,Secunderabad,Andhra Pradesh,1,N,N,500001,8759,1511.02,1284.36,226.66,15.00
5003,Chandimandir,Chandimandir,Chandimandir,Chandigarh,M,N,N,NA,38063,2124.70,1898.65,226.05,10.64
539,RAJ HOSPITALS,RANCHI,Ranchi,Odisha,1,N,N,834001,10239,1672.23,1446.25,225.97,13.51
5192,Salem,Salem,Coimbatore,Tamil Nadu,N,N,N,636007,9128,705.88,480.04,225.84,31.99
5276,Nerul,Nerul ,Mumbai,Maharashtra,N,N,N,400706,6704,821.59,596.13,225.45,27.44
337,NORTH BENGAL NEURO RESEARCH CENTRE PVT LTD,SILIGURI,Kolkata,West Bengal,1,N,N,734003,10180,3694.83,3471.05,223.78,6.06
2650,RANVIR HOSPITAL,BHIWANI,Hisar,Haryana,1,N,N,127021,1574,1247.69,1023.93,223.76,17.93
2813,MAHALAKSHMI MULTISPECIALITY HOSPITAL (UNIT OF MEDI,CHENNAI,Chennai,Tamil Nadu,1,N,N,600056,14626,2135.30,1911.60,223.70,10.48
2993,ASTER CMI HOSPITAL (A UNIT OF ASTER DM HEALTH CARE,BANGALORE,Bangalore,Karnataka,1,N,N,560092,75961,7557.79,7334.31,223.48,2.96
403,Chandni Hospital (P) Ltd- Kanpur,Kanpur,Lucknow,Uttar Pradesh,1,N,N,208002,3020,912.16,690.40,221.77,24.31
3337,R J SUPER SPECIALITY HOSPITAL,BAHADURGARH,Hisar,Haryana,,N,N,124507,1979,1946.09,1724.36,221.73,11.39
